* The following is the list of plates in the on-line Consolidated Lunar Atlas from the Lunar and Planetary Laboratory,,,
* It has been put in a format which (when saved as a  .csv  file) can be read by the PSS feature in LTVT,,,

* Note:  blank rows and rows starting with a * are treated as comments and ignored by LTVT,,,
*  Please do not use any commas or semi-colons anywhere in this file -- they will lead to a bad .csv version and confuse LTVT,,,

*Date,Time,Plate,Photo
9/4/1966,10:37:36,D8,C2571
9/4/1966,10:43:36,A6,C2580
11/3/1966,9:04:36,E11,C3355
11/3/1966,9:15:18,D11,C3362
11/3/1966,9:30:42,H13,C3372
9/5/1966,11:30:12,G12,C2584
9/5/1966,11:40:18,C8,C2593
9/5/1966,11:43:24,A7,C2597
9/5/1966,12:21:12,F11,C2615
9/5/1966,12:25:18,H10,C2618
11/4/1966,10:24:48,H14,C3437
9/6/1966,10:40:30,A9,C2620
9/6/1966,10:43:42,B11,C2626
9/6/1966,10:45:42,C11,C2629
9/6/1966,11:01:12,H15,C2653
9/6/1966,11:02:42,G14,C2655
9/6/1966,11:05:36,F13,C2661
9/6/1966,11:07:30,E13,C2663
9/6/1966,11:10:06,D13,C2668
8/8/1966,10:55:12,G16,C2435
8/8/1966,11:03:24,D16,C2439
8/8/1966,11:08:24,B14,C2444
9/7/1966,11:14:00,H18,C2681
9/7/1966,11:25:12,D18,C2695
9/7/1966,11:27:00,C12,C2699
9/7/1966,11:39:12,E16,C2720
9/7/1966,12:02:42,G17,C2743
7/11/1966,11:36:00,D21,C2303
7/11/1966,11:41:00,F17,C2317
9/8/1966,11:52:42,E19,C2781
10/8/1966,11:56:30,H19,C2849
10/8/1966,12:05:06,D23,C2857
10/8/1966,12:08:42,B17,C2862
10/8/1966,12:18:18,E20,C2878
10/8/1966,12:20:18,F20,C2880
10/8/1966,12:22:42,G20,C2885
10/19/1965,11:47:36,H20,C142
10/19/1965,12:12:54,H23,C162
7/12/1966,11:26:00,A14,C2349
7/12/1966,11:37:18,F22,C2365
6/13/1966,11:46:42,B19,C2396
10/9/1966,11:31:12,E24,C2921
10/9/1966,11:32:36,D25,C2923
10/9/1966,11:35:18,C18,C2928
10/9/1966,11:45:12,H25,C2933
7/13/1966,11:35:12,E26,C2376
7/13/1966,11:37:00,F25,C2380
7/13/1966,11:44:36,C22,C2391
9/10/1966,12:01:42,G24,C2821
9/10/1966,12:06:00,H22,C2827
8/12/1966,11:40:18,G26,C2477
6/3/1938,4:00:00,A1,L175
6/3/1938,4:00:00,B1,L175
6/3/1938,4:00:00,C2,L175
6/3/1938,4:00:00,D3,L175
6/3/1938,4:00:00,E3,L175
6/3/1938,4:00:00,F3,L175
6/3/1938,4:00:00,G1,L175
6/24/1966,3:16:54,H2,C2153
6/24/1966,3:36:36,G4,C2189
6/24/1966,3:41:54,D5,C2201
6/24/1966,3:43:18,C4,C2202
6/24/1966,3:48:42,A3,C2211
3/17/1967,2:08:54,F4,C4372
3/17/1967,2:20:30,B3,C4396
3/17/1967,2:31:12,E5,C4413
4/27/1966,2:37:42,B7,C1384
4/27/1966,2:54:24,D9,C1411
4/27/1966,2:58:18,E9,C1419
4/27/1966,3:03:00,F8,C1430
4/27/1966,3:05:42,G8,C1437
4/27/1966,3:09:48,H3,C1444
4/27/1966,3:34:54,C7,C1487
5/27/1966,3:19:18,H4,C1782
5/27/1966,3:33:18,F10,C1794
5/27/1966,3:55:36,D10,C1843
5/27/1966,3:58:18,E10,C1850
5/27/1966,4:03:54,G9,C1856
